,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID5651602859,2.0,2,6,-37.8243707,144.94256299999998,-37.7738026,144.98364660000001,10682.0,2018-02-15,22:38:29,3177.1200000000013,23:31:26,344.96
ID3642601675,1.0,3,5,-37.8146704,144.9952074,-37.807430700000005,144.9340125,6184.0,2018-06-11,17:41:14,1447.0199999999993,18:05:21,14.36
ID1738947025,0.0,4,7,-37.801281700000004,145.0007346,-37.8618349,144.90571599999998,11945.0,2018-01-03,08:52:40,3840.780000000001,9:56:40,6.54
ID1419439018,0.0,2,5,-37.81400429999999,144.94429240000002,-37.8147958,144.92705790000002,2617.0,2018-06-10,00:23:07,633.060000000001,0:33:40,14.76
ID1950604322,0.0,5,1,-37.809847600000005,144.9287891,-37.8218102,144.9518698,2871.0,2018-04-19,17:25:56,727.3800000000001,17:38:03,7.6
ID5223121619,2.0,9,6,-38.1109156,144.65417250000002,-37.7874325,144.9803767,47033.0,2018-06-16,23:41:28,11355.660000000005,2:50:43,1153.19
ID3540339577,1.0,9,1,-38.1109156,144.65417250000002,-37.8145736,144.946566,42047.0,2018-07-12,06:57:31,10146.239999999998,9:46:37,40.14
ID5655707970,2.0,5,9,-37.8039953,144.936298,-38.1109156,144.65417250000002,43468.0,2018-01-21,21:04:43,10422.179999999997,23:58:25,1059.84
ID1763338256,0.0,5,3,-37.804446899999995,144.91663180000003,-37.8164624,144.97100659999998,5710.0,2018-04-22,15:30:19,1608.9,15:57:07,11.27
ID1754178245,0.0,3,6,-37.8177037,144.9731096,-37.7738026,144.98364660000001,8145.0,2018-01-04,16:53:02,2563.32,17:35:45,9.87
ID1638347283,0.0,2,9,-37.8168402,144.9355778,-38.1109156,144.65417250000002,42759.0,2018-02-06,01:10:08,10270.08,4:01:18,19.54
ID1600097548,0.0,6,7,-37.7874421,144.9804091,-37.8618349,144.90571599999998,11630.0,2018-05-15,10:04:10,3697.0200000000013,11:05:47,4.89
ID3612300047,1.0,6,4,-37.7874325,144.9803767,-37.8048007,144.99854530000002,3722.0,2018-04-28,22:09:41,961.86,22:25:42,23.33
ID1947943051,0.0,9,4,-38.1109156,144.65417250000002,-37.7961315,144.9949687,47618.0,2018-06-06,09:22:38,11327.940000000002,12:31:25,14.47
ID1932440339,0.0,6,9,-37.7874325,144.9803767,-38.1109156,144.65417250000002,47033.0,2018-02-02,16:39:35,11350.5,19:48:45,17.05
ID3937651865,1.0,4,3,-37.8117771,145.0104504,-37.8100606,144.99600269999996,1456.0,2018-05-25,00:21:50,320.88,0:27:10,17.56
ID1383526007,0.0,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-05-18,16:01:46,11530.62,19:13:56,17.56
ID1840851680,0.0,5,1,-37.805528,144.9363773,-37.8064794,144.9558966,1940.0,2018-03-10,02:44:58,495.90000000000015,2:53:13,14.92
ID5974478366,2.0,6,9,-37.7738026,144.98364660000001,-38.1109156,144.65417250000002,51061.0,2018-02-10,08:38:44,12976.499999999995,12:15:00,1290.32
ID3950020688,1.0,6,1,-37.773845,144.9836895,-37.803879200000004,144.95739269999999,4756.0,2018-07-15,06:49:19,1002.48,7:06:01,12.45
ID1836566046,0.0,1,2,-37.8230218,144.9601494,-37.8248322,144.94941790000001,1472.0,2018-04-26,14:00:22,393.48,14:06:55,8.55
ID5292433900,2.0,7,2,-37.8618349,144.90571599999998,-37.8167083,144.9273935,11425.0,2018-05-06,10:46:14,3691.799999999999,11:47:45,381.98
ID1907513729,0.0,3,8,-37.8204834,144.9811666,-37.8158343,145.04645,7061.0,2018-05-08,12:49:39,2029.6800000000005,13:23:28,8.78
ID3445597023,1.0,2,5,-37.8181279,144.9485845,-37.8164601,144.9283916,3074.0,2018-04-23,00:52:35,755.4000000000002,1:05:10,21.07
ID1214504389,0.0,8,4,-37.8158343,145.04645,-37.809341700000004,144.9923949,4855.0,2018-04-18,12:05:55,1496.5799999999995,12:30:51,9.32
ID3116574835,1.0,5,8,-37.814625799999995,144.9281072,-37.8158343,145.04645,11563.0,2018-05-08,16:59:58,3229.02,17:53:47,20.75
ID1823397573,0.0,6,2,-37.773845,144.9836895,-37.8150862,144.9450741,6317.0,2018-02-03,16:29:55,1401.1799999999996,16:53:16,12.2
ID3982020199,1.0,3,7,-37.81436179999999,144.9952645,-37.8618349,144.90571599999998,10492.0,2018-01-16,09:37:45,3340.140000000001,10:33:25,17.22
ID1703590079,0.0,3,1,-37.8177751,145.0079809,-37.805963500000004,144.9408821,6954.0,2018-06-20,22:52:31,1727.4000000000015,23:21:18,14.07
ID3205786151,1.0,2,8,-37.8227836,144.93575230000002,-37.8158343,145.04645,10559.0,2018-07-07,18:45:36,3076.320000000001,19:36:52,23.5
ID3705852208,1.0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-03-04,09:50:44,4917.479999999999,11:12:41,24.04
ID5181942063,2.0,1,7,-37.7997729,144.96362340000002,-37.8618349,144.90571599999998,9822.0,2018-01-28,16:53:56,3211.26,17:47:27,344.46
ID3300440537,1.0,3,2,-37.821025,144.9784257,-37.8186913,144.9427556,3840.0,2018-02-05,06:26:24,916.2000000000003,6:41:40,6.98
ID3987478228,1.0,2,6,-37.824406200000006,144.9447001,-37.7907967,144.985865,6304.0,2018-03-14,18:33:05,1802.8200000000008,19:03:07,16.33
ID1251591491,0.0,5,4,-37.8066063,144.9378524,-37.80045689999999,144.99754109999998,6152.0,2018-06-19,00:28:55,1560.4199999999996,0:54:55,12.41
ID3862333205,1.0,9,6,-38.1109156,144.65417250000002,-37.7874325,144.9803767,47033.0,2018-05-09,17:46:05,11355.660000000005,20:55:20,50.38
ID1287939318,0.0,4,2,-37.808563299999996,145.00016730000002,-37.8197896,144.9425883,5864.0,2018-07-12,23:26:46,1429.9199999999996,23:50:35,12.86
ID5761739933,2.0,5,7,-37.8044195,144.9285626,-37.8618349,144.90571599999998,11364.0,2018-02-09,05:08:42,3641.52,6:09:23,389.19
