,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID5651602859,,2,6,-37.8243707,144.942563,-37.7738026,144.9836466,10682.0,2018-02-15,22:38:29,3177.120000000001,23:31:26,344.96
ID3642601675,,3,5,-37.8146704,144.9952074,-37.8074307,144.9340125,6184.0,2018-06-11,17:41:14,1447.0199999999995,18:05:21,14.36
ID1738947025,0.0,4,7,-37.8012817,145.0007346,-37.8618349,144.905716,11945.0,2018-01-03,08:52:40,3840.7800000000007,9:56:40,6.54
ID1419439018,0.0,2,5,-37.8140043,144.9442924,-37.8147958,144.9270579,2617.0,2018-06-10,00:23:07,633.060000000001,0:33:40,14.76
ID1950604322,,5,1,-37.8098476,144.9287891,-37.8218102,144.9518698,2871.0,2018-04-19,17:25:56,727.3800000000001,17:38:03,7.6
ID5223121619,2.0,9,6,-38.1109156,144.6541725,-37.7874325,144.9803767,47033.0,2018-06-16,23:41:28,11355.660000000005,2:50:43,1153.19
ID3540339577,1.0,9,1,-38.1109156,144.6541725,-37.8145736,144.946566,42047.0,2018-07-12,06:57:31,10146.239999999998,9:46:37,40.14
ID5655707970,,5,9,-37.8039953,144.936298,-38.1109156,144.6541725,43468.0,2018-01-21,21:04:43,10422.179999999998,23:58:25,1059.84
ID1763338256,0.0,5,3,-37.8044469,144.9166318,-37.8164624,144.9710066,5710.0,2018-04-22,15:30:19,1608.9,15:57:07,11.27
ID1754178245,,3,6,-37.8177037,144.9731096,-37.7738026,144.9836466,8145.0,2018-01-04,16:53:02,2563.32,17:35:45,9.87
ID1638347283,0.0,2,9,-37.8168402,144.9355778,-38.1109156,144.6541725,42759.0,2018-02-06,01:10:08,10270.08,4:01:18,19.54
ID1600097548,0.0,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-05-15,10:04:10,3697.0200000000013,11:05:47,4.89
ID3612300047,1.0,6,4,-37.7874325,144.9803767,-37.8048007,144.9985453,3722.0,2018-04-28,22:09:41,961.8599999999999,22:25:42,23.33
ID1947943051,,9,4,-38.1109156,144.6541725,-37.7961315,144.9949687,47618.0,2018-06-06,09:22:38,11327.940000000002,12:31:25,14.47
ID1932440339,,6,9,-37.7874325,144.9803767,-38.1109156,144.6541725,47033.0,2018-02-02,16:39:35,11350.5,19:48:45,17.05
ID3937651865,,4,3,-37.8117771,145.0104504,-37.8100606,144.9960027,1456.0,2018-05-25,00:21:50,320.88,0:27:10,17.56
ID1383526007,0.0,6,9,-37.7907967,144.985865,-38.1109156,144.6541725,47193.0,2018-05-18,16:01:46,11530.619999999999,19:13:56,17.56
ID1840851680,0.0,5,1,-37.805528,144.9363773,-37.8064794,144.9558966,1940.0,2018-03-10,02:44:58,495.9000000000001,2:53:13,14.92
ID5974478366,,6,9,-37.7738026,144.9836466,-38.1109156,144.6541725,51061.0,2018-02-10,08:38:44,12976.499999999996,12:15:00,1290.32
ID3950020688,1.0,6,1,-37.773845,144.9836895,-37.8038792,144.9573927,4756.0,2018-07-15,06:49:19,1002.4799999999999,7:06:01,12.45
ID1836566046,0.0,1,2,-37.8230218,144.9601494,-37.8248322,144.9494179,1472.0,2018-04-26,14:00:22,393.47999999999996,14:06:55,8.55
ID5292433900,2.0,7,2,-37.8618349,144.905716,-37.8167083,144.9273935,11425.0,2018-05-06,10:46:14,3691.799999999999,11:47:45,381.98
ID1907513729,,3,8,-37.8204834,144.9811666,-37.8158343,145.04645,7061.0,2018-05-08,12:49:39,2029.6800000000003,13:23:28,8.78
ID3445597023,1.0,2,5,-37.8181279,144.9485845,-37.8164601,144.9283916,3074.0,2018-04-23,00:52:35,755.4000000000001,1:05:10,21.07
ID1214504389,0.0,8,4,-37.8158343,145.04645,-37.8093417,144.9923949,4855.0,2018-04-18,12:05:55,1496.5799999999997,12:30:51,9.32
