,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID3517071353,1,8,1,-37.8158343,145.04645,-37.8089494,144.936611,10181.0,2018-07-19,06:03:43,2849.339999999999,6:51:12,19.11
1,ID5440532458,2,8,2,-37.8158343,145.04645,-37.811480700000004,144.93783190000002,9930.0,2018-03-03,11:48:55,2802.3599999999988,12:35:37,216.13
2,ID1231479706,0,5,4,-37.8045967,144.9196376,-37.8152136,145.00598069999998,8456.0,2018-06-06,02:02:37,2001.900000000001,2:35:58,16.53
3,ID1948404235,0,5,8,-37.816394700000004,144.9285102,-37.807202000000004,145.0266373,10334.0,2018-03-22,13:36:23,2655.9000000000005,14:20:38,12.36
4,ID3775497123,1,1,6,-37.80385020000001,144.95797180000002,-37.7874325,144.9803767,3847.0,2018-05-15,01:43:33,966.1800000000003,1:59:39,9.82
5,ID5936869205,2,2,4,-37.8134576,144.9354636,-37.800460799999996,144.995272,6439.0,2018-05-13,14:32:54,1623.3600000000006,14:59:57,71.57
6,ID1597905938,0,1,3,-37.801785200000005,144.94780680000002,-37.827178100000005,144.9940628,5569.0,2018-07-21,16:24:51,1478.7600000000002,16:49:29,7.32
7,ID5806021012,2,7,3,-37.8618349,144.90571599999998,-37.8207703,144.9848428,9098.0,2018-07-10,08:50:11,2990.039999999998,9:40:01,223.2
8,ID1245781552,0,6,7,-37.7908183,144.9857929,-37.8618349,144.90571599999998,11712.0,2018-05-11,17:23:01,3717.4800000000014,18:24:58,13.63
9,ID1319646144,0,1,8,-37.8136747,144.9409178,-37.807202000000004,145.0266373,8350.0,2018-04-25,18:01:56,2116.2600000000007,18:37:12,10.21
10,ID1134190225,0,8,2,-37.8158343,145.04645,-37.8199697,144.9251126,11166.0,2018-01-15,13:13:15,3061.139999999999,14:04:16,12.55
11,ID3171108771,1,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-02-06,03:19:50,12069.78,6:40:59,74.0
12,ID1848207945,0,3,1,-37.818372,145.00153390000003,-37.803216600000006,144.97398,3740.0,2018-03-07,01:52:43,937.2000000000003,2:08:20,6.915
13,ID1299333493,0,3,7,-37.8196257,145.01002319999998,-37.8618349,144.90571599999998,11485.0,2018-01-23,11:12:02,3621.4800000000014,12:12:23,10.01
14,ID3345065711,1,8,4,-37.807202000000004,145.0266373,-37.8009189,145.0073256,4045.0,2018-07-01,23:31:02,1135.08,23:49:57,22.2
15,ID5282021087,2,4,5,-37.804973499999996,145.0145436,-37.803968499999996,144.9175835,9286.0,2018-03-16,22:04:14,2518.26,22:46:12,208.99
16,ID1791759339,0,7,3,-37.8618349,144.90571599999998,-37.82489,144.98486640000002,8932.0,2018-07-05,04:39:19,2949.779999999999,5:28:28,18.98
17,ID1509050617,0,4,6,-37.809844399999996,144.99382119999999,-37.7738026,144.98364660000001,8879.0,2018-03-16,00:25:03,2743.8,1:10:46,9.015
18,ID5720976989,2,5,4,-37.81151989999999,144.92720680000002,-37.815948299999995,145.00945369999997,8300.0,2018-06-11,14:14:40,2067.36,14:49:07,165.93
19,ID5946691149,2,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-04-11,19:55:34,13204.979999999996,23:35:38,952.39
20,ID1924428770,0,9,3,-38.1109156,144.65417250000002,-37.8185881,144.9814428,45101.0,2018-01-16,18:30:57,10842.299999999994,21:31:39,27.93
21,ID1871185135,0,9,5,-38.1109156,144.65417250000002,-37.8149881,144.92750149999998,44403.0,2018-03-24,17:24:31,10674.779999999997,20:22:25,14.75
22,ID1600630222,0,9,5,-38.1109156,144.65417250000002,-37.7946969,144.9361619,44504.0,2018-02-06,20:50:13,10643.759999999997,23:47:36,25.42
23,ID3752014540,1,8,5,-37.8158343,145.04645,-37.798916999999996,144.9356823,10173.0,2018-03-13,12:01:42,2834.46,12:48:56,22.01
24,ID3915913871,1,8,5,-37.8158343,145.04645,-37.804508,144.9376613,10397.0,2018-07-15,11:10:23,2849.160000000001,11:57:52,22.03
25,ID3606849707,1,4,5,-37.8095167,144.99974,-37.8062874,144.9328554,6317.0,2018-04-01,14:32:48,1626.6,14:59:54,9.695
26,ID1536114815,0,8,5,-37.8158343,145.04645,-37.800970899999996,144.9364078,10508.0,2018-03-17,09:55:17,2936.5199999999986,10:44:13,14.18
27,ID1559428813,0,8,3,-37.8158343,145.04645,-37.8205354,144.9678249,7774.0,2018-02-06,08:49:09,2325.0600000000004,9:27:54,9.16
28,ID3246888154,1,3,8,-37.8203612,144.9777006,-37.8158343,145.04645,7365.0,2018-02-08,06:57:26,2168.28,7:33:34,7.705
29,ID1227169934,0,2,1,-37.811613799999996,144.9381312,-37.8189575,144.94663730000002,1741.0,2018-04-22,04:45:02,433.56,4:52:15,8.635
30,ID5520549888,2,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-07-04,09:24:30,2302.38,10:02:52,173.31
31,ID1392350523,0,8,2,-37.8158343,145.04645,-37.8218547,144.947504,9344.0,2018-01-23,23:06:44,2710.079999999999,23:51:54,7.91
32,ID1682489636,0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-05-20,04:32:00,4917.479999999999,5:53:57,26.79
33,ID5264442839,2,6,8,-37.773845,144.9836895,-37.807202000000004,145.0266373,8606.0,2018-07-11,20:38:00,1995.7200000000007,21:11:15,161.9
34,ID1513224318,0,1,8,-37.8121845,144.97386569999998,-37.807202000000004,145.0266373,5615.0,2018-04-11,03:44:42,1348.7400000000002,4:07:10,8.2
35,ID3502444475,1,5,8,-37.8064779,144.9378783,-37.8158343,145.04645,9772.0,2018-07-01,16:38:01,2788.6800000000007,17:24:29,24.28
36,ID1476368161,0,7,1,-37.8618349,144.90571599999998,-37.8157201,144.9505242,9776.0,2018-03-22,07:29:21,3281.219999999998,8:24:02,9.02
37,ID3569897223,1,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-05-22,13:21:56,13173.36,17:01:29,72.8
38,ID1800374075,0,1,4,-37.8192375,144.96108230000002,-37.8073806,144.9981959,4012.0,2018-02-18,07:23:47,1023.2400000000004,7:40:50,9.63
39,ID1971474444,0,4,9,-37.80998889999999,144.9953274,-38.1109156,144.65417250000002,46495.0,2018-01-13,04:44:25,11161.259999999998,7:50:26,35.83
40,ID3444333271,1,6,1,-37.7738026,144.98364660000001,-37.8226174,144.9518009,9756.0,2018-04-08,20:57:44,2967.119999999998,21:47:11,25.96
41,ID5720698234,2,5,9,-37.8060456,144.93147050000002,-38.1109156,144.65417250000002,43632.0,2018-05-16,18:53:25,10464.3,21:47:49,378.48
42,ID5657963185,2,7,1,-37.8618349,144.90571599999998,-37.798608,144.9672495,10022.0,2018-01-04,04:19:16,3277.6199999999994,5:13:53,261.78
43,ID3606384533,1,6,5,-37.7908183,144.9857929,-37.80247070000001,144.9341081,6307.0,2018-06-10,15:07:30,1635.36,15:34:45,20.46
44,ID1875053847,0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-02-05,03:58:51,12681.060000000005,7:30:12,17.41
45,ID1486278473,0,5,1,-37.8066559,144.93273349999998,-37.8002551,144.9509615,2327.0,2018-04-05,06:15:49,574.2600000000002,6:25:23,5.55
46,ID3286805495,1,7,3,-37.8618349,144.90571599999998,-37.823226500000004,144.97004109999997,7976.0,2018-06-26,08:36:27,2744.88,9:22:11,17.79
47,ID3360798387,1,3,5,-37.8123412,144.97344819999998,-37.8017383,144.9311332,4486.0,2018-01-19,23:26:09,1178.9399999999996,23:45:47,18.49
48,ID1882898611,0,5,1,-37.8149881,144.92750149999998,-37.8230989,144.9622591,4594.0,2018-06-16,18:31:39,1053.9000000000003,18:49:12,14.46
49,ID3518019185,1,7,5,-37.8618349,144.90571599999998,-37.805093,144.9295737,11263.0,2018-06-17,23:58:13,3605.58,0:58:18,33.26
50,ID5549032633,2,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-02-17,09:54:27,13173.36,13:34:00,947.43
51,ID3873835828,1,9,5,-38.1109156,144.65417250000002,-37.8066191,144.9324223,43562.0,2018-02-08,12:46:11,10436.1,15:40:07,60.96
52,ID3481714947,1,7,6,-37.8618349,144.90571599999998,-37.7874421,144.9804091,11630.0,2018-07-21,14:42:12,3678.5399999999986,15:43:30,31.67
53,ID1321622006,0,5,4,-37.8071185,144.9309042,-37.8041467,145.0078254,7619.0,2018-01-28,00:32:39,2012.52,1:06:11,22.01
54,ID1700033637,0,3,7,-37.8186293,145.00390080000003,-37.8618349,144.90571599999998,10971.0,2018-04-11,20:24:34,3497.820000000001,21:22:51,12.87
55,ID3544000266,1,2,7,-37.8136525,144.9370198,-37.8618349,144.90571599999998,10426.0,2018-01-01,14:06:33,3404.5200000000004,15:03:17,26.1
56,ID5389190321,2,9,5,-38.1109156,144.65417250000002,-37.8152883,144.927865,44317.0,2018-02-14,17:51:43,10655.279999999997,20:49:18,770.7
57,ID1736175887,0,9,6,-38.1109156,144.65417250000002,-37.7738026,144.98364660000001,51061.0,2018-07-27,12:38:17,12952.44000000001,16:14:09,31.53
58,ID3160855260,1,2,7,-37.8240586,144.94263490000003,-37.8618349,144.90571599999998,11492.0,2018-03-06,23:42:55,3891.9,0:47:46,31.59
59,ID1115184825,0,9,5,-38.1109156,144.65417250000002,-37.811480700000004,144.92788080000003,44198.0,2018-02-19,17:14:49,10601.639999999996,20:11:30,26.1
60,ID3887122262,1,4,8,-37.8049,145.0117458,-37.8158343,145.04645,4432.0,2018-07-07,07:10:54,1424.94,7:34:38,15.42
61,ID3111826870,1,6,9,-37.7874421,144.9804091,-38.1109156,144.65417250000002,47035.0,2018-01-12,04:50:34,11407.86,8:00:41,69.85
62,ID1702851044,0,6,4,-37.7874421,144.9804091,-37.8045527,144.993404,3171.0,2018-02-25,23:49:50,785.5199999999996,0:02:55,18.92
63,ID1899006981,0,6,2,-37.7908183,144.9857929,-37.8135389,144.9403554,5762.0,2018-01-01,22:44:34,1466.7,23:09:00,17.03
64,ID3537128004,1,1,7,-37.8054093,144.942993,-37.8618349,144.90571599999998,10226.0,2018-01-28,21:48:16,3396.120000000001,22:44:52,34.36
65,ID1324258757,0,1,6,-37.81620170000001,144.95857,-37.773845,144.9836895,5716.0,2018-06-21,01:44:16,1214.4,2:04:30,15.72
